Course Name,Course,Schedule,Course Title,First Name,Last Name,Term,InvitedCount,RespondentCount,%ResponseRatio,"Excluding class sessions, estimate the average number of hours per week spent in preparation or review. - Mean","Overall, did the instructor convey the course material clearly? - Mean","Overall, did the instructor convey the course material in an interesting way? - Mean","Did you take away useful tools, concepts, and/or insights from this course? - Mean",How much did you get out of this course? - Mean,Would you recommend this course to other students? - Mean
35100 85,35100,85,Financial Instruments,G M,Constantinides,Autumn 2020,8,7,87.5,5.1,3.7,3.4,4,3.9,3.7
42001 04,42001,4,Competitive Strategy,Thomas,Covert,Autumn 2020,52,36,69.2,4.8,4.1,4.2,4.2,3.9,3.9
42001 05,42001,5,Competitive Strategy,Thomas,Covert,Autumn 2020,46,25,54.4,5.2,4.4,4.4,4.5,4.3,4.4
38103 03,38103,3,Strategies and Processes of Negotiation,Joshua,Dean,Autumn 2020,36,22,61.1,2.4,4.6,4.5,4.5,4.2,4.5
38103 82,38103,82,Strategies and Processes of Negotiation,Joshua,Dean,Autumn 2020,34,23,67.7,3.9,4.8,4.8,4.7,4.6,4.7
38916 50,38916,50,Behavioral Economics - Development & Observational Data,Joshua,Dean,Autumn 2020,12,6,50,5.5,4.3,4.3,4.5,4.3,4.5
41175 50,41175,50,Behavioral Economics - Development & Observational Data,Joshua,Dean,Autumn 2020,12,8,66.7,5,4.6,4.5,4.6,4.6,4.5
34903 50,34903,50,Corporate Finance I,Douglas W,Diamond,Autumn 2020,9,7,77.8,13.6,4.4,4.4,4.7,4.6,4.3
37000 03,37000,3,Marketing Strategy,Berkeley,Dietvorst,Autumn 2020,68,41,60.3,3.5,4.7,4.6,4.4,4.2,4.4
37000 04,37000,4,Marketing Strategy,Berkeley,Dietvorst,Autumn 2020,67,40,59.7,3.2,4.6,4.3,4.3,3.9,4.2
37000 82,37000,82,Marketing Strategy,Berkeley,Dietvorst,Autumn 2020,44,26,59.1,4.6,4.5,4.4,4.2,4.2,4.2
35101 50,35101,50,International Macroeconomics and Trade,Jonathan,Dingel,Autumn 2020,10,10,100,11.3,4.4,3.8,4.1,4,4
33001 01,33001,1,Microeconomics,Rebecca,Dizon-Ross,Autumn 2020,63,40,63.5,3.8,4.7,4.5,4.3,4,4.3
33001 02,33001,2,Microeconomics,Rebecca,Dizon-Ross,Autumn 2020,70,43,61.4,4.4,4.7,4.6,4.6,4.3,4.4
33001 81,33001,81,Microeconomics,Rebecca,Dizon-Ross,Autumn 2020,63,47,74.6,5.2,4.6,4.4,4.4,4.2,4.4
30118 01,30118,1,Taxes and Business Strategy,Merle,Erickson,Autumn 2020,60,30,50,3.5,4.4,3.9,4.7,4.3,4.3
30118 02,30118,2,Taxes and Business Strategy,Merle,Erickson,Autumn 2020,48,30,62.5,4,4.4,4.1,4.4,4.3,4.3
30118 81,30118,81,Taxes and Business Strategy,Merle,Erickson,Autumn 2020,50,33,66,6.8,4.6,4.6,4.7,4.5,4.5
41100 01,41100,1,Applied Regression Analysis,Max,Farrell,Autumn 2020,15,11,73.3,6.2,3.9,4.2,4.5,4,3.6
41100 81,41100,81,Applied Regression Analysis,Max,Farrell,Autumn 2020,7,5,71.4,7,4.8,4.6,4.8,4.6,4.8
41100 85,41100,85,Applied Regression Analysis,Max,Farrell,Autumn 2020,14,10,71.4,6.5,4.4,4.4,4.5,4.3,4.6
33001 03,33001,3,Microeconomics,Alexander,Frankel,Autumn 2020,23,17,73.9,4.3,4,3.8,4,3.8,3.6
33001 82,33001,82,Microeconomics,Alexander,Frankel,Autumn 2020,20,16,80,5.1,4.6,4.2,4.1,4.1,4.5
33001 85,33001,85,Microeconomics,Alexander,Frankel,Autumn 2020,34,25,73.5,4.8,4.5,4.3,4.3,4.2,4.4
33001 06,33001,6,Microeconomics,Michael,Gibbs,Autumn 2020,69,45,65.2,3.7,4.5,4.5,4.4,4.2,4.5
33001 07,33001,7,Microeconomics,Michael,Gibbs,Autumn 2020,69,43,62.3,3.8,4.4,4.5,4.1,3.9,4.2
41301 02,41301,2,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Zvi,Gilula,Autumn 2020,13,12,92.3,3.6,4.4,4.1,4.3,4.3,4.2
42117 01,42117,1,Platform Competition,Austan D,Goolsbee,Autumn 2020,60,41,68.3,3.4,4.7,4.8,4.7,4.5,4.8
42117 02,42117,2,Platform Competition,Austan D,Goolsbee,Autumn 2020,59,40,67.8,3.2,4.7,4.9,4.6,4.5,4.7
42117 81,42117,81,Platform Competition,Austan D,Goolsbee,Autumn 2020,55,39,70.9,6,4.5,4.6,4.5,4.3,4.5
42710 01,42710,1,Social Impact Lab,Christina,Hachikian,Autumn 2020,14,11,78.6,6.5,4.3,4.5,4.6,4.3,4.2
34903 50,34903,50,Corporate Finance I,Zhiguo,He,Autumn 2020,9,7,77.8,13.6,4.4,4.3,4.7,4.6,4.3
34901 50,34901,50,Asset Pricing I,John,Heaton,Autumn 2020,12,9,75,12.9,3.8,3.4,4.4,4.2,4
35000 01,35000,1,Investments,John,Heaton,Autumn 2020,56,35,62.5,8,4,3.5,4.2,3.9,3.9
35000 02,35000,2,Investments,John,Heaton,Autumn 2020,62,40,64.5,6.1,3.5,3.1,3.7,3.2,3.2
35000 81,35000,81,Investments,John,Heaton,Autumn 2020,68,54,79.4,6.6,3.8,3.4,4,3.7,3.7
37105 01,37105,1,Data Science for Marketing Decision Making,Guenter,Hitsch,Autumn 2020,49,29,59.2,8.4,4.3,4.3,4.6,4.4,4.4
37105 81,37105,81,Data Science for Marketing Decision Making,Guenter,Hitsch,Autumn 2020,23,17,73.9,9.4,4.2,4,4.4,4.1,4.1
33001 04,33001,4,Microeconomics,Richard,Hornbeck,Autumn 2020,63,38,60.3,5,4,3.4,3.9,3.5,3.5
33001 05,33001,5,Microeconomics,Richard,Hornbeck,Autumn 2020,62,35,56.5,4.6,4.1,3.6,3.9,3.6,3.8
33001 83,33001,83,Microeconomics,Richard,Hornbeck,Autumn 2020,45,32,71.1,5.5,4.6,4.2,4.5,4.3,4.5
38002 01,38002,1,Managerial Decision Making,Kaiyuan Chris,Hsee,Autumn 2020,68,36,52.9,2.7,4.3,3.6,3.9,3.4,3.5
38002 81,38002,81,Managerial Decision Making,Kaiyuan Chris,Hsee,Autumn 2020,64,45,70.3,3.2,4.4,4,4.1,3.7,3.8
38002 85,38002,85,Managerial Decision Making,Kaiyuan Chris,Hsee,Autumn 2020,60,42,70,3.3,4.2,4,4.3,3.9,4
33520 01,33520,1,The Wealth of Nations,Chang-Tai,Hsieh,Autumn 2020,49,33,67.4,4.8,4.2,4.4,4.2,4,4.1
33520 81,33520,81,The Wealth of Nations,Chang-Tai,Hsieh,Autumn 2020,46,33,71.7,6.2,4.1,4.2,4,3.8,4
33520 85,33520,85,The Wealth of Nations,Chang-Tai,Hsieh,Autumn 2020,35,25,71.4,5,4.1,4.4,4,4,4
42126 01,42126,1,Arts Leadership: Exemplary is Not Enough,Mary,Ittelson,Autumn 2020,32,24,75,2.7,4.7,4.8,4.3,4.4,4.7
41000 81,41000,81,Business Statistics,Tetsuya,Kaji,Autumn 2020,25,18,72,3.1,3.7,4,4,3.8,4.1
41000 82,41000,82,Business Statistics,Tetsuya,Kaji,Autumn 2020,12,9,75,3.2,4,4,4.1,4.1,4.2
41901 50,41901,50,Probability and Statistics,Tetsuya,Kaji,Autumn 2020,17,12,70.6,4.4,4.1,4,4,3.8,3.8
33914 50,33914,50,Topics Information Economics,Emir,Kamenica,Autumn 2020,12,8,66.7,9.3,4.8,4.6,4.6,4.6,4.8
34101 01,34101,1,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2020,68,43,63.2,5.4,4.2,4.4,4.5,4.1,4.2
34101 02,34101,2,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2020,69,43,62.3,6.3,4.4,4.5,4.5,4.4,4.5
34101 85,34101,85,Entrepreneurial Finance and Private Equity,Steven Neil,Kaplan,Autumn 2020,65,49,75.4,7.7,4.6,4.8,4.8,4.8,4.7
32100 81,32100,81,Data Analysis with R and Python,Lara,Kattan,Autumn 2020,34,18,52.9,4.7,3.8,3.9,4.2,3.7,3.6
32100 85,32100,85,Data Analysis with R and Python,Lara,Kattan,Autumn 2020,31,17,54.8,5.4,4.4,4.3,4.4,4.4,4.4
39101 01,39101,1,Technology Strategy,Marc James,Knez,Autumn 2020,63,42,66.7,4.5,4.2,3.7,4.3,4,3.9
39101 81,39101,81,Technology Strategy,Marc James,Knez,Autumn 2020,56,37,66.1,5.1,4.1,4,4.2,4,4.1
41000 03,41000,3,Business Statistics,Tengyuan,Liang,Autumn 2020,20,15,75,4.5,4.3,4.3,4.3,4.1,4.1
41000 04,41000,4,Business Statistics,Tengyuan,Liang,Autumn 2020,61,30,49.2,4.4,4,4,3.9,3.6,3.8
41000 05,41000,5,Business Statistics,Tengyuan,Liang,Autumn 2020,40,23,57.5,4.2,3.9,4,4,3.7,3.9
38001 01,38001,1,Managing in Organizations,Ann,McGill,Autumn 2020,70,42,60,3.2,4.9,4.9,4.8,4.7,4.8
38001 02,38001,2,Managing in Organizations,Ann,McGill,Autumn 2020,70,44,62.9,3.3,4.7,4.7,4.7,4.6,4.7
38001 85,38001,85,Managing in Organizations,Ann,McGill,Autumn 2020,66,53,80.3,3.9,4.6,4.6,4.7,4.6,4.6
34106 01,34106,1,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2020,54,35,64.8,6.5,4.5,4.1,4.5,4.2,4.3
34106 81,34106,81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Scott F,Meadow,Autumn 2020,53,40,75.5,8.2,4.7,4.8,4.8,4.8,4.8
30130 01,30130,1,Financial Statement Analysis,Michael,Minnis,Autumn 2020,60,38,63.3,4.5,4.5,4.6,4.4,4.3,4.5
30130 02,30130,2,Financial Statement Analysis,Michael,Minnis,Autumn 2020,54,38,70.4,4.2,4.6,4.6,4.5,4.2,4.5
30130 81,30130,81,Financial Statement Analysis,Michael,Minnis,Autumn 2020,54,30,55.6,4.3,4.4,4.3,4.5,4.4,4.4
37301 81,37301,81,Digital Marketing,Lil,Mohan,Autumn 2020,63,41,65.1,4,4.7,4.6,4.4,4.3,4.4
37703 85,37703,85,Digital Marketing and MarTech Lab,Lil,Mohan,Autumn 2020,30,22,73.3,6.1,4,3.9,4.2,3.9,3.7
42121 81,42121,81,Merger & Acquisition Strategy,Stephen,Morrissette,Autumn 2020,69,55,79.7,5.1,4.6,4.7,4.7,4.6,4.7
33101 01,33101,1,Advanced Microeconomic Analysis,Kevin,Murphy,Autumn 2020,63,39,61.9,8.7,4.6,4.8,4.7,4.5,4.4
33101 81,33101,81,Advanced Microeconomic Analysis,Kevin,Murphy,Autumn 2020,53,32,60.4,8.9,4.4,4.7,4.5,4.2,4.1
33502 01,33502,1,International Financial Policy,Brent,Neiman,Autumn 2020,54,37,68.5,4.5,4.3,4.1,4.2,4,4.1
33502 81,33502,81,International Financial Policy,Brent,Neiman,Autumn 2020,29,19,65.5,5.2,4.6,4.4,4.5,4.4,4.2
33502 85,33502,85,International Financial Policy,Brent,Neiman,Autumn 2020,24,17,70.8,5.8,4.5,4.5,4.2,3.9,3.9
35200 01,35200,1,Corporation Finance,Scott,Nelson,Autumn 2020,48,31,64.6,4.5,4.4,4.2,4.2,4,4.2
35200 02,35200,2,Corporation Finance,Scott,Nelson,Autumn 2020,59,34,57.6,4.9,4.4,4.2,4.5,4.3,4.4
35200 81,35200,81,Corporation Finance,Scott,Nelson,Autumn 2020,64,48,75,4.6,4.7,4.3,4.5,4.4,4.5
30000 01,30000,1,Financial Accounting,Valeri,Nikolaev,Autumn 2020,69,45,65.2,5.1,4.4,4.2,4.4,4.2,4.2
30000 02,30000,2,Financial Accounting,Valeri,Nikolaev,Autumn 2020,70,46,65.7,4.2,4.5,4.2,4.5,4.2,4.3
30000 81,30000,81,Financial Accounting,Valeri,Nikolaev,Autumn 2020,46,32,69.6,6.2,4.3,4.1,4.4,4.2,4.1
34302 81,34302,81,Entrepreneurship through Acquisition,Brian,O'Connor,Autumn 2020,64,54,84.4,4.1,4.5,4.4,4.4,4.2,4.3
34704 81,34704,81,Real Estate Lab: Real Estate Challenge,Joseph,Pagliari Jr.,Autumn 2020,11,7,63.6,5.3,5,4.7,4.7,4.7,4.7
42201 81,42201,81,The Legal Infrastructure of Business,Randal,Picker,Autumn 2020,66,53,80.3,3.2,4.6,4.5,4.2,3.9,4.1
42201 85,42201,85,The Legal Infrastructure of Business,Randal,Picker,Autumn 2020,41,32,78.1,4,4.3,4.3,4,3.9,4.1
34103 81,34103,81,Building the New Venture,Lindsey,Pippel Lyman,Autumn 2020,36,23,63.9,5.5,4.4,4.4,4.3,4,4
33310 81,33310,81,Employment Law for Entrepreneurs and Managers,David,Pogrund,Autumn 2020,24,17,70.8,3.8,4.7,4.7,4.7,4.6,4.7
41000 06,41000,6,Business Statistics,Nicholas G,Polson,Autumn 2020,45,27,60,3.1,3,3.7,3.4,3,3
41000 85,41000,85,Business Statistics,Nicholas G,Polson,Autumn 2020,24,15,62.5,3.9,3.6,4.5,4.2,3.8,3.9
41916 50,41916,50,"Bayes, AI and Deep Learning",Nicholas G,Polson,Autumn 2020,23,14,60.9,4.9,3.3,4,3.3,3.2,3.1
38916 50,38916,50,Behavioral Economics - Development & Observational Data,Devin,Pope,Autumn 2020,12,6,50,5.5,4.7,4.8,4.5,4.3,4.5
41175 50,41175,50,Behavioral Economics - Development & Observational Data,Devin,Pope,Autumn 2020,12,8,66.7,5,4.6,4.6,4.6,4.6,4.5
31401 01,31401,1,Interpersonal Dynamics,Darryl,Pure,Autumn 2020,12,12,100,5.9,4.8,4.8,4.9,4.8,4.8
37000 01,37000,1,Marketing Strategy,Anita,Rao,Autumn 2020,65,41,63.1,3.6,4.6,4.3,4.4,4.1,4.4
37000 02,37000,2,Marketing Strategy,Anita,Rao,Autumn 2020,57,35,61.4,3.7,4.4,4.2,4.3,4,4.1
37000 81,37000,81,Marketing Strategy,Anita,Rao,Autumn 2020,57,42,73.7,4.4,4.7,4.5,4.5,4.1,4.3
34305 01,34305,1,Private Equity Transactions,Stephen,Ritchie,Autumn 2020,22,9,40.9,4.7,4.2,3.4,3.9,3.6,3.4
38115 85,38115,85,Ethics of Business,John,Rollert,Autumn 2020,54,35,64.8,4.8,4.8,4.8,4.6,4.6,4.6
42123 01,42123,1,"Reputation, Regulation and Communications - How Media Influences Business",Guy,Rolnik,Autumn 2020,60,42,70,3,4.2,4.2,3.9,3.8,4.1
42123 81,42123,81,"Reputation, Regulation and Communications - How Media Influences Business",Guy,Rolnik,Autumn 2020,64,50,78.1,3.3,4.2,4.6,4.3,4.1,4
42705 01,42705,1,"Reputation, Regulation and Communications-How Media Influences Business-Lab",Guy,Rolnik,Autumn 2020,23,14,60.9,3.1,4.6,4.6,4.1,4.1,4.4
41203 81,41203,81,Financial Econometrics,Jeffrey R,Russell,Autumn 2020,47,23,48.9,6.5,4.6,4.2,4.4,4.1,4
36106 01,36106,1,Managerial Decision Modeling,Burhaneddin,Sandikci,Autumn 2020,44,32,72.7,6.9,4.7,4.2,4.5,4.4,4.4
36106 81,36106,81,Managerial Decision Modeling,Burhaneddin,Sandikci,Autumn 2020,41,26,63.4,10.5,4.5,4.2,4.4,4.3,4.5
36106 85,36106,85,Managerial Decision Modeling,Burhaneddin,Sandikci,Autumn 2020,41,32,78.1,10.7,4.5,4.2,4.5,4.1,4.2
34102 01,34102,1,New Venture Strategy,James,Schrager,Autumn 2020,64,27,42.2,4.4,4.5,4.8,4.6,4.5,4.4
42001 85,42001,85,Competitive Strategy,Ram,Shivakumar,Autumn 2020,51,36,70.6,3.9,4.5,4.4,4.1,3.9,4.1
31401 81,31401,81,Interpersonal Dynamics,Lisa,Stefanac,Autumn 2020,12,11,91.7,4.2,4.9,5,4.9,5,4.9
33921 50,33921,50,Advanced Industrial Organization I,Chad,Syverson,Autumn 2020,13,8,61.5,5.9,4.5,4.6,4.5,4.1,4.3
40101 50,40101,50,Advanced Industrial Organization I,Chad,Syverson,Autumn 2020,16,12,75,6.6,4.5,4.6,4.4,4.2,4.3
42001 01,42001,1,Competitive Strategy,Chad,Syverson,Autumn 2020,69,45,65.2,3.3,4,4,3.8,3.7,3.8
42001 81,42001,81,Competitive Strategy,Chad,Syverson,Autumn 2020,64,38,59.4,4.3,4.2,4.3,4.2,4,4.3
38103 01,38103,1,Strategies and Processes of Negotiation,Thomas,Talhelm,Autumn 2020,54,40,74.1,2.9,4.5,4.4,4.7,4.3,4.5
38103 02,38103,2,Strategies and Processes of Negotiation,Thomas,Talhelm,Autumn 2020,55,38,69.1,3.1,4.7,4.8,4.8,4.7,4.8
38103 81,38103,81,Strategies and Processes of Negotiation,Thomas,Talhelm,Autumn 2020,54,41,75.9,3.3,4.5,4.4,4.4,4.2,4.4
34705 01,34705,1,Entrepreneurial Discovery,Mark,Tebbe,Autumn 2020,57,45,79,5.3,4.4,4.6,4.2,4.2,4.3
34705 02,34705,2,Entrepreneurial Discovery,Mark,Tebbe,Autumn 2020,47,41,87.2,4.6,4.5,4.5,4.4,4.2,4.2
37200 85,37200,85,New Products and Services,Craig,Terrill,Autumn 2020,47,37,78.7,4.4,4.2,4.1,4.2,4,4.1
41100 02,41100,2,Applied Regression Analysis,Panagiotis,Toulis,Autumn 2020,67,44,65.7,5.5,4.5,4.4,4.6,4.4,4.4
41100 03,41100,3,Applied Regression Analysis,Panagiotis,Toulis,Autumn 2020,66,36,54.6,5.7,4.3,4.4,4.3,4.1,4.2
41100 82,41100,82,Applied Regression Analysis,Panagiotis,Toulis,Autumn 2020,56,35,62.5,5.2,4.3,4.4,4.4,4.1,4.4
33040 01,33040,1,Macroeconomics,Joseph,Vavra,Autumn 2020,33,26,78.8,4.8,4.5,4.3,4.3,4.2,4.1
33040 02,33040,2,Macroeconomics,Joseph,Vavra,Autumn 2020,26,17,65.4,4.4,4.5,4.3,4.2,4.1,4
33040 81,33040,81,Macroeconomics,Joseph,Vavra,Autumn 2020,39,31,79.5,5,4.5,4.3,4.4,4.3,4.2
31001 01,31001,1,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,64,35,54.7,2.1,4.2,4,4,3.7,3.8
31001 02,31001,2,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,66,32,48.5,2.4,4.3,4.2,4.1,3.9,4
31001 03,31001,3,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,68,45,66.2,2.9,4.2,4,4,3.8,3.9
31001 04,31001,4,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,64,33,51.6,1.7,4.4,4.3,4.1,3.8,3.9
31001 05,31001,5,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,68,35,51.5,1.8,4.3,4.1,4.1,3.8,4
31001 06,31001,6,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,66,35,53,1.2,4.3,3.9,3.9,3.7,3.7
31001 07,31001,7,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,66,24,36.4,1.8,4.3,4.3,3.9,3.8,3.8
31001 08,31001,8,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,66,35,53,1.5,4.3,4.2,4.1,3.7,4
31001 09,31001,9,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,66,32,48.5,2,4,3.9,3.8,3.5,3.6
31001 10,31001,10,Leadership: Effectiveness and Development,Robert Ward,Vishny,Autumn 2020,66,29,43.9,1.8,4.4,4.2,3.9,3.6,3.8
31002 81,31002,81,Leadership Exploration and Development,Robert Ward,Vishny,Autumn 2020,238,172,72.3,1.7,4.3,4.1,4,3.6,3.7
31401 03,31401,3,Interpersonal Dynamics,Richard,Volden,Autumn 2020,12,12,100,4.3,4.9,4.8,5,4.9,4.9
38101 81,38101,81,Persuasion: Effective Business Communication,Hal,Weitzman,Autumn 2020,36,29,80.6,3.7,4.7,4.8,4.8,4.5,4.7
42001 02,42001,2,Competitive Strategy,Thomas,Wollmann,Autumn 2020,53,32,60.4,3.4,4.7,4.6,4.5,4.3,4.4
42001 03,42001,3,Competitive Strategy,Thomas,Wollmann,Autumn 2020,31,15,48.4,4.1,4.6,4.6,4.4,4.4,4.4
42001 82,42001,82,Competitive Strategy,Thomas,Wollmann,Autumn 2020,54,46,85.2,3.8,4.6,4.9,4.6,4.4,4.6
36900 50,36900,50,Linear Programming,Linwei,Xin,Autumn 2020,5,5,100,8.6,4.4,4.2,4.8,4.4,4.6
41100 04,41100,4,Applied Regression Analysis,Dacheng,Xiu,Autumn 2020,66,41,62.1,6.8,4,4,4.4,3.9,3.9
30000 05,30000,5,Financial Accounting,Anastasia,Zakolyukina,Autumn 2020,51,39,76.5,5.9,4.6,4.5,4.8,4.5,4.5
30000 06,30000,6,Financial Accounting,Anastasia,Zakolyukina,Autumn 2020,27,16,59.3,7.7,4.6,4.6,4.6,4.5,4.6
30000 85,30000,85,Financial Accounting,Anastasia,Zakolyukina,Autumn 2020,64,44,68.8,6.6,4.6,4.5,4.6,4.5,4.5
38116 01,38116,1,Leading and Managing Teams,Elena,Zinchenko,Autumn 2020,49,25,51,2.7,3.8,3.7,3.4,3.1,3.1
38116 81,38116,81,Leading and Managing Teams,Elena,Zinchenko,Autumn 2020,34,20,58.8,3.6,4.1,4.3,4.1,3.9,3.8
33501 01,33501,1,International Commercial Policy,Rodrigo,Adao,Autumn 2021,20,11,55,4,4.5,4.5,4.4,4.1,4.1
40206 01,40206,1,Healthcare Business Analytics,Daniel,Adelman,Autumn 2021,14,12,85.7,7.3,4.4,4,4.1,3.9,3.8
40206 81,40206,81,Healthcare Business Analytics,Daniel,Adelman,Autumn 2021,19,15,79,6.5,4.3,3.9,4.3,3.8,3.5
34302 01,34302,1,Entrepreneurship through Acquisition,Mark,Agnew,Autumn 2021,70,41,58.6,4.3,4.8,4.9,4.7,4.7,4.8
34111 01,34111,1,Entrepreneurial Selling,Michael,Alter,Autumn 2021,64,44,68.8,4.5,4.5,4.4,4.1,3.8,3.6
34111 81,34111,81,Entrepreneurial Selling,Michael,Alter,Autumn 2021,57,40,70.2,4.3,4.6,4.6,4.4,4.1,4.1
36106 01,36106,1,Managerial Decision Modeling,Baris,Ata,Autumn 2021,45,20,44.4,4.1,4.5,4.4,4.3,4,4.1
36106 02,36106,2,Managerial Decision Modeling,Baris,Ata,Autumn 2021,40,23,57.5,4.7,4.8,4.6,4.6,4.5,4.6
36106 85,36106,85,Managerial Decision Modeling,Baris,Ata,Autumn 2021,41,28,68.3,5.2,4.8,4.7,4.6,4.4,4.5
30000 04,30000,4,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2021,65,34,52.3,4.3,4.2,4.2,4.2,3.8,4.1
30000 81,30000,81,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2021,63,36,57.1,5.1,4.3,4.5,4.4,4.3,4.4
30000 85,30000,85,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2021,61,43,70.5,6.5,4.5,4.7,4.5,4.4,4.4
